Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arabia Saudita,SAU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,718,760,813,812,840,904,961,1032,1276,1313,1509,1929,2474,3640,10503,10266,13313,14595,14914,19612,27206,28703,22454,17810,15541,12745,10078,9386,9165,9414,11055,11847,11730,10885,10602,10786,11472,11545,9836,10452,11715,10805,10586,11487,13154,15976,17564,18596,22320,17718,22028,26966,28349,27290,27080,22454,21516,23081,28036,27893,23271,28396,34454,32094
República Checa,CZE,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3969,2917,3397,3984,4663,5865,6573,6069,6527,6378,6063,6669,8101,9852,11783,13442,15259,18453,22775,19817,20160,22049,20014,20260,20038,17932,18754,20913,23706,24063,23473,27696,28282,31591
Islas Turcas y Caicos,TCA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18326,17804,18859,21246,24122,28734,29444,31454,24597,23094,23627,22634,22412,23996,25736,26946,25780,27160,27273,17453,23115,26802,30349
Estonia,EST,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686,2819,3134,3381,3683,4093,4141,4071,4503,5343,7205,8916,10415,12641,16745,18206,14712,14664,17556,17568,19310,20582,17722,18666,20852,23618,24021,23934,27954,28451,30133
Bahrein,BHR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,1742,1830,2206,2981,3874,3880,5310,6358,6926,7891,9733,10557,10712,10599,10697,9649,7777,8333,8772,8833,9343,10434,10460,11152,11629,11901,12092,12255,11625,12123,14214,13573,13501,14486,15964,17966,19267,20908,23299,19465,21819,25033,26439,26990,26452,23734,23800,24785,26324,27260,24343,27148,30616,29219
Lituania,LTU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183,2341,2844,3181,3128,3301,3533,4148,5507,6735,7857,9210,12295,14956,11854,11829,14262,14295,15655,16474,14300,14982,16885,19369,19728,20542,23935,25086,27786
Portugal,PRT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,377,400,426,452,490,545,601,676,752,832,934,1065,1302,1748,2000,2128,2173,2267,2457,2756,3368,3246,3080,2735,2523,2705,3862,4804,5624,6056,7885,8959,10811,9535,9977,11781,12185,11576,12199,12475,11526,11735,12937,15798,18064,18780,19839,22811,24949,23151,22552,23247,20593,21676,22121,19216,19980,21442,23541,23343,22299,24711,24621,27331
República Eslovaca,SVK,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437,2727,2959,3143,3821,4883,5248,5172,5561,5652,5422,5712,6555,8675,10650,11642,13168,16110,18744,16587,16899,18469,17517,18313,18771,16442,16636,17646,19573,19406,19735,22138,21343,24491
Barbados,BRB,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,347,366,377,421,414,433,462,508,506,567,666,750,856,1042,1243,1601,1734,1968,2198,2668,4025,4417,4599,4866,5284,5510,6031,6625,7033,7773,7781,7790,7519,7905,8223,8460,9012,9522,10734,11244,11675,11640,11760,12076,12886,14214,15620,17235,17566,16295,18860,19346,19034,19308,19278,18954,19066,19693,20056,20584,18347,18697,22164,23804
Grecia,GRC,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,513,583,608,686,773,887,984,1053,1138,1306,1474,1629,1873,2468,2789,3109,3343,3832,4629,5627,5812,5305,5502,4950,4785,4747,5578,6474,7492,7738,9467,10047,11021,10257,10937,12779,13433,13016,13023,12743,11638,12157,13782,18021,21449,22054,24416,28441,31696,29425,26653,25505,21624,21573,21475,17981,17919,18632,19873,19335,17887,20655,20972,23401
